,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
352,17233,2600,3,0,3,0,2454,80529,0,9
353,17233,2600,2,0,2,0,2455,80529,0,9
354,17233,2600,2,0,2,0,2455,80529,0,9
355,17233,2600,1,0,1,0,2456,80529,0,9
356,17233,2600,0,0,0,0,2457,80529,0,9
357,17233,2600,0,0,0,0,2457,80529,0,9
358,17233,2600,0,0,0,0,2457,80529,0,9
359,17233,2600,0,0,0,0,2457,80529,0,9
360,17233,2600,0,0,0,0,2457,80529,0,9
361,17233,2600,0,0,0,0,2457,80529,0,9
362,17233,2600,0,0,0,0,2457,80529,0,9
363,17233,2600,0,0,0,0,2457,80529,0,9
364,17233,2600,0,0,0,0,2457,80529,0,9
365,17233,2600,0,0,0,0,2457,80529,0,9
366,17233,2600,0,0,0,0,2457,80529,0,9
367,17233,2600,0,0,0,0,2457,80529,0,9
368,17233,2600,0,0,0,0,2457,80529,0,9
369,17233,2600,0,0,0,0,2457,80529,0,9
370,17233,2600,0,0,0,0,2457,80529,0,9
371,17233,2600,0,0,0,0,2457,80529,0,9
372,17233,2600,0,0,0,0,2457,80529,0,9
373,17233,2600,0,0,0,0,2457,80529,0,9
374,17233,2600,0,0,0,0,2457,80529,0,9
375,17233,2600,0,0,0,0,2457,80529,0,9
376,17233,2600,0,0,0,0,2457,80529,0,9
377,17233,2600,0,0,0,0,2457,80529,0,9
378,17233,2600,0,0,0,0,2457,80529,0,9
379,17233,2600,0,0,0,0,2457,80529,0,9
380,17233,2600,0,0,0,0,2457,80529,0,9
381,17233,2600,0,0,0,0,2457,80529,0,9
382,17233,2600,0,0,0,0,2457,80529,0,9
383,17233,2600,0,0,0,0,2457,80529,0,9
384,17233,2600,0,0,0,0,2457,80529,0,9
385,17233,2600,0,0,0,0,2457,80529,0,9
386,17233,2600,0,0,0,0,2457,80529,0,9
387,17233,2600,0,0,0,0,2457,80529,0,9
388,17233,2600,0,0,0,0,2457,80529,0,9
389,17233,2600,0,0,0,0,2457,80529,0,9
390,17233,2600,0,0,0,0,2457,80529,0,9
391,17233,2600,0,0,0,0,2457,80529,0,9
392,17233,2600,0,0,0,0,2457,80529,0,9
393,17233,2600,0,0,0,0,2457,80529,0,9
394,17233,2600,0,0,0,0,2457,80529,0,9
395,17233,2600,0,0,0,0,2457,80529,0,9
396,17233,2600,0,0,0,0,2457,80529,0,9
397,17233,2600,0,0,0,0,2457,80529,0,9
398,17233,2600,0,0,0,0,2457,80529,0,9
399,17233,2600,0,0,0,0,2457,80529,0,9
