,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84222,330,330,0,0,0,0,15448,0,0
1,83506,348,348,0,0,0,0,16146,0,0
2,82786,369,369,0,0,0,0,16845,0,0
3,82069,390,390,0,0,0,0,17542,1,0
4,81350,412,412,0,0,0,0,18239,1,0
5,80621,444,444,0,0,0,0,18938,3,0
6,79891,478,477,39,309,0,0,19635,3,0
7,79177,492,491,40,329,0,0,20335,3,0
8,78471,502,499,45,344,0,0,21032,2,0
9,77763,517,513,46,365,0,0,21725,1,0
10,77044,539,535,49,392,0,0,22423,2,0
11,76330,557,552,52,422,0,0,23119,1,0
12,75617,572,567,52,436,0,0,23817,1,0
13,74904,588,248,14,135,14,334,24514,0,0
14,74187,607,246,14,129,14,355,25212,0,0
15,73478,620,239,11,133,14,375,25908,0,0
16,72768,631,228,12,128,14,397,26607,0,0
17,72063,642,209,9,116,14,427,27301,0,0
18,71357,654,188,7,101,14,460,27995,0,0
19,70641,672,192,9,104,14,474,28693,0,0
20,69928,689,186,8,109,0,493,29391,2,4
21,69215,708,190,9,104,0,508,30085,2,4
22,68501,725,186,8,95,0,529,30782,2,4
23,67794,738,179,6,91,0,547,31476,0,4
24,67078,756,182,7,93,0,562,32174,0,4
25,66370,767,177,7,92,0,578,32872,1,4
26,65654,786,177,7,92,0,597,33569,1,4
27,64946,801,179,8,95,0,610,34262,1,4
28,64231,821,187,6,99,0,621,34958,1,4
29,63524,836,191,9,103,0,632,35650,1,4
30,62807,859,202,10,100,0,644,36344,1,4
31,62096,873,197,12,99,0,662,37041,0,4
32,61393,886,195,11,100,0,677,37732,1,4
33,60680,906,196,9,102,0,696,38426,2,4
34,59971,923,196,9,100,0,713,39119,3,4
35,59259,938,197,9,110,0,726,39816,2,4
36,58541,964,204,6,109,0,744,40509,2,4
37,57832,980,209,5,112,0,754,41203,2,4
38,57125,992,202,3,114,0,773,41900,4,4
39,56419,1005,199,6,112,0,788,42594,4,4
40,55712,1015,189,9,105,0,807,43292,4,4
41,54999,1032,189,11,113,0,822,43991,2,4
42,54292,1045,178,13,103,0,845,44690,1,4
43,53587,1057,175,12,100,0,859,45386,0,4
44,52882,1065,171,13,99,0,871,46085,0,4
45,52183,1075,162,13,89,0,890,46783,1,4
46,51475,1092,163,13,90,0,906,47479,3,4
47,50766,1107,163,11,90,0,921,48176,4,4
48,50065,1114,144,9,79,0,946,48872,3,4
49,49363,1122,135,8,73,0,961,49568,1,4
50,48662,1128,130,9,71,0,971,50266,0,4
51,47967,1134,124,12,71,0,983,50961,1,4
52,47263,1146,127,11,77,0,992,51656,1,4
53,46560,1158,122,10,68,0,1009,52353,1,4
54,45861,1162,112,10,63,0,1022,53050,0,4
55,45160,1172,110,10,57,0,1034,53748,2,4
56,44460,1180,110,9,55,0,1042,54447,2,4
57,43761,1190,111,9,58,0,1051,55144,5,4
58,43062,1195,99,8,56,0,1066,55842,3,4
59,42364,1198,88,8,46,0,1080,56539,3,4
60,41670,1201,81,6,49,0,1087,57236,0,4
61,40978,1204,76,5,50,0,1095,57930,1,4
62,40282,1208,74,4,52,0,1101,58629,1,4
63,39585,1210,71,4,52,0,1106,59328,1,4
64,38887,1212,60,3,44,0,1118,60028,0,4
65,38189,1213,49,0,38,0,1130,60728,0,4
66,37488,1217,49,0,36,0,1134,61428,0,4
67,36786,1221,45,0,32,0,1142,62127,0,4
68,36086,1224,40,1,25,0,1150,62826,0,4
69,35387,1228,37,1,20,0,1157,63526,0,4
70,34689,1230,34,1,16,0,1162,64226,0,4
71,33993,1230,31,1,17,0,1165,64926,0,4
72,33298,1232,30,2,17,0,1168,65624,0,4
73,32601,1235,31,2,18,0,1170,66324,1,4
74,31905,1235,27,3,17,0,1174,67023,1,4
75,31204,1237,27,3,17,0,1176,67723,1,4
76,30502,1241,28,3,15,0,1178,68422,0,4
77,29805,1242,28,3,16,0,1179,69122,0,4
78,29105,1246,28,3,14,0,1183,69822,0,4
79,28409,1248,26,2,11,0,1187,70522,0,4
80,27711,1250,25,2,10,0,1190,71222,0,4
81,27010,1255,26,2,10,0,1194,71921,0,4
