,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84241,301,301,0,0,0,0,15458,0,0
1,83524,319,319,0,0,0,0,16157,0,0
2,82805,341,341,0,0,0,0,16854,0,0
3,82081,366,366,0,0,0,0,17553,0,0
4,81349,402,402,0,0,0,0,18249,0,0
5,80617,439,439,0,0,0,0,18945,1,0
6,79887,473,473,26,293,0,0,19641,1,0
7,79166,497,497,29,312,0,0,20338,1,0
8,78448,516,515,31,335,0,0,21037,0,0
9,77727,539,538,35,367,0,0,21735,0,0
10,77014,555,554,39,399,0,0,22432,0,0
11,76286,584,583,40,432,0,0,23131,0,0
12,75576,597,596,41,455,0,0,23828,0,0
13,74854,622,313,16,180,11,308,24526,1,0
14,74145,636,305,16,181,11,330,25221,1,0
15,73430,654,298,17,171,11,355,25918,1,0
16,72719,668,275,16,165,11,391,26615,0,0
17,72000,690,261,12,146,11,427,27312,0,0
18,71286,709,246,13,135,11,461,28007,0,0
19,70579,719,232,12,126,11,485,28704,0,0
20,69868,735,218,13,124,0,512,29399,0,3
21,69151,756,216,11,117,0,535,30095,0,3
22,68439,773,217,10,124,0,551,30790,0,3
23,67728,787,202,7,117,0,580,31489,2,3
24,67019,798,200,8,113,0,593,32187,2,3
25,66311,814,192,8,105,0,617,32880,3,3
26,65602,826,188,11,109,0,631,33577,1,3
27,64891,843,187,11,108,0,649,34271,1,3
28,64194,852,181,10,107,0,663,34960,1,3
29,63495,862,169,9,97,0,685,35649,1,3
30,62788,873,161,10,92,0,704,36345,1,3
31,62086,881,158,9,95,0,714,37039,0,3
32,61377,896,157,9,96,0,730,37733,0,3
33,60670,906,146,6,86,0,751,38430,0,3
34,59961,917,140,4,81,0,768,39128,0,3
35,59251,928,139,6,78,0,780,39827,0,3
36,58545,940,140,6,75,0,791,40522,1,3
37,57840,949,134,7,74,0,806,41218,1,3
38,57131,960,133,9,70,0,818,41917,2,3
39,56429,970,125,9,64,0,835,42609,1,3
40,55726,979,126,12,64,0,843,43303,1,3
41,55016,991,127,12,65,0,853,44002,1,3
42,54305,1004,129,11,64,0,864,44701,2,3
43,53599,1014,131,12,65,0,872,45399,2,3
