,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84241,308,308,0,0,0,0,15451,0,0
1,83533,318,318,0,0,0,0,16149,0,0
2,82811,340,340,0,0,0,0,16849,0,0
3,82095,359,359,0,0,0,0,17546,0,0
4,81380,381,381,0,0,0,0,18239,0,0
5,80659,404,404,0,0,0,0,18937,0,0
6,79936,430,430,30,288,0,0,19636,2,0
7,79223,445,445,36,304,0,0,20334,2,0
8,78514,458,458,36,323,0,0,21030,2,0
9,77802,471,469,37,344,0,0,21729,0,0
10,77094,482,480,39,365,0,0,22426,0,0
11,76374,505,503,43,385,0,0,23123,0,0
12,75658,521,519,43,400,0,0,23823,0,0
13,74948,535,231,13,125,16,302,24519,0,0
14,74236,550,224,7,122,16,324,25216,0,0
15,73525,565,220,10,111,16,343,25912,0,0
16,72817,576,209,10,112,16,365,26609,0,0
17,72106,588,198,14,101,16,388,27308,0,0
18,71398,599,185,10,95,16,412,28006,1,0
19,70697,603,174,10,95,16,427,28703,1,0
20,69984,619,161,12,95,0,450,29401,2,6
21,69276,631,159,15,90,0,463,30097,1,6
22,68566,644,161,13,93,0,474,30796,3,6
23,67863,652,145,12,81,0,497,31491,2,6
24,67155,663,140,7,74,0,513,32189,3,6
25,66446,674,135,10,72,0,527,32887,1,6
26,65739,685,131,11,68,0,542,33583,1,6
27,65037,691,121,10,65,0,557,34279,0,6
28,64333,702,121,7,65,0,568,34972,0,6
29,63622,717,124,6,64,0,580,35669,1,6
30,62909,734,131,8,63,0,590,36367,3,6
31,62197,750,143,7,71,0,594,37063,3,6
32,61483,769,146,6,63,0,609,37758,2,6
33,60773,784,147,6,62,0,621,38453,0,6
34,60060,800,152,6,65,0,632,39150,0,6
35,59348,817,161,8,70,0,640,39846,1,6
36,58636,839,173,10,74,0,650,40536,1,6
37,57921,858,181,11,81,0,661,41232,1,6
38,57202,880,191,12,84,0,672,41929,0,6
39,56484,904,209,12,94,0,678,42624,1,6
40,55770,923,217,11,100,0,689,43320,2,6
41,55061,939,219,13,106,0,703,44018,3,6
42,54349,953,217,12,111,0,718,44717,2,6
43,53642,965,212,13,116,0,734,45413,1,6
44,52929,984,211,10,123,0,753,46111,1,6
45,52213,1007,219,12,124,0,768,46807,2,6
46,51505,1020,216,10,125,0,784,47503,2,6
47,50793,1040,219,12,121,0,800,48200,2,6
48,50088,1053,209,9,114,0,822,48895,1,6
49,49381,1067,204,8,114,0,841,49593,1,6
50,48672,1079,193,8,114,0,863,50293,0,6
51,47968,1090,181,9,103,0,886,50989,1,6
52,47271,1098,171,6,107,0,904,51684,1,6
53,46562,1114,172,6,105,0,919,52380,3,6
54,45859,1127,170,7,104,0,933,53073,3,6
55,45152,1141,172,8,103,0,945,53771,4,6
56,44456,1151,162,8,95,0,963,54469,5,6
57,43749,1163,151,6,83,0,985,55167,4,6
58,43043,1174,148,7,83,0,998,55864,3,6
59,42339,1186,138,9,74,0,1017,56562,1,6
60,41635,1200,139,10,73,0,1030,57257,2,6
61,40932,1209,134,8,68,0,1044,57956,2,6
62,40230,1219,131,8,68,0,1056,58650,1,6
63,39523,1233,134,9,68,0,1066,59348,0,6
64,38816,1245,138,9,71,0,1074,60047,1,6
65,38107,1261,140,8,71,0,1088,60746,1,6
66,37402,1272,139,7,69,0,1100,61446,2,6
67,36700,1280,133,6,67,0,1113,62144,1,6
68,36000,1289,135,9,71,0,1120,62841,1,6
69,35293,1302,135,10,69,0,1132,63541,1,6
70,34592,1313,135,10,74,0,1143,64241,5,6
71,33888,1325,136,9,74,0,1154,64939,8,6
72,33183,1336,133,10,68,0,1167,65637,8,6
73,32472,1348,132,9,69,0,1176,66337,4,6
74,31773,1359,130,9,71,0,1186,67035,5,6
75,31071,1365,121,6,67,0,1200,67735,5,6
76,30366,1373,118,6,65,0,1211,68435,5,6
77,29665,1378,103,6,59,0,1227,69132,1,6
78,28968,1384,98,7,60,0,1237,69831,2,6
79,28257,1400,106,5,61,0,1245,70531,4,6
80,27552,1408,105,5,57,0,1254,71231,5,6
81,26849,1414,97,6,52,0,1266,71931,3,6
82,26145,1425,99,7,49,0,1273,72630,3,6
83,25446,1432,96,5,46,0,1282,73329,3,6
84,24742,1440,94,6,49,0,1292,74028,3,6
85,24044,1445,85,6,44,0,1304,74728,1,6
86,23340,1453,85,6,43,0,1311,75427,0,6
87,22636,1466,93,7,46,0,1316,76126,1,6
88,21931,1475,94,7,44,0,1324,76826,1,6
89,21230,1484,98,5,49,0,1329,77526,3,6
90,20530,1493,102,6,49,0,1333,78221,3,6
91,19821,1503,98,6,43,0,1347,78921,3,6
92,19121,1510,96,8,46,0,1354,79620,2,6
93,18415,1520,99,10,47,0,1360,80318,1,6
94,18187,1531,101,9,46,0,1369,80538,2,6
95,18177,1545,108,10,47,0,1375,80538,5,6
96,18159,1565,120,10,49,0,1383,80538,7,6
