,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84251,291,291,0,0,0,0,15458,0,0
1,83523,320,320,0,0,0,0,16157,0,0
2,82800,343,343,0,0,0,0,16857,0,0
3,82078,368,368,0,0,0,0,17554,0,0
4,81356,392,392,0,0,0,0,18252,0,0
5,80626,425,425,0,0,0,0,18949,0,0
6,79901,453,453,29,291,0,0,19646,0,0
7,79182,473,473,32,311,0,0,20345,0,0
8,78460,495,495,37,331,0,0,21045,0,0
9,77749,509,509,40,352,0,0,21742,0,0
10,77032,531,531,42,383,0,0,22438,1,0
11,76311,556,556,48,405,0,0,23135,2,0
12,75583,584,584,49,424,0,0,23835,2,0
13,74867,603,294,21,154,12,308,24533,2,0
14,74147,624,291,18,148,12,331,25233,2,0
15,73432,641,283,15,147,12,356,25931,2,0
16,72715,658,275,17,145,12,380,26631,1,0
17,71990,685,268,18,139,12,413,27329,0,0
18,71278,704,259,14,133,12,441,28022,0,0
19,70569,716,251,15,132,12,461,28720,1,0
20,69854,735,236,16,126,0,492,29416,1,3
21,69135,760,247,17,128,0,506,30111,2,3
22,68419,780,245,15,136,0,527,30807,1,3
23,67714,789,230,12,134,0,551,31503,1,3
24,67003,805,217,10,119,0,579,32198,0,3
25,66294,818,212,14,116,0,597,32894,0,3
26,65582,835,209,17,117,0,617,33589,0,3
27,64879,845,202,18,119,0,634,34283,1,3
28,64171,854,194,17,112,0,651,34982,1,3
29,63463,865,178,18,100,0,678,35679,1,3
30,62751,879,172,18,94,0,697,36377,0,3
31,62041,892,175,18,100,1,707,37074,0,3
32,61323,914,178,12,96,1,726,37770,0,3
33,60611,931,171,8,85,1,750,38465,0,3
34,59894,949,169,7,77,1,770,39164,0,3
35,59188,960,171,8,81,1,779,39859,0,3
36,58481,971,166,8,78,1,795,40555,0,3
37,57770,987,169,7,88,1,808,41250,0,3
38,57065,998,162,8,87,0,826,41945,1,3
39,56353,1011,166,10,94,0,835,42644,1,3
40,55649,1021,167,9,97,0,844,43339,2,3
41,54945,1030,164,7,99,0,855,44036,1,3
42,54234,1042,162,8,100,0,869,44735,1,3
43,53527,1051,157,7,98,0,882,45435,0,3
44,52824,1064,148,6,90,0,904,46128,2,3
45,52120,1074,141,5,83,0,921,46825,3,3
46,51420,1082,131,5,74,0,939,47521,3,3
47,50715,1092,128,5,75,0,950,48218,1,3
48,50014,1104,128,7,71,0,961,48912,1,3
49,49312,1113,121,5,68,0,977,49609,1,3
50,48613,1121,119,7,65,0,987,50306,3,3
51,47909,1133,117,7,60,0,1000,51005,6,3
52,47203,1145,120,6,62,0,1009,51703,8,3
53,46496,1156,120,5,65,0,1018,52400,7,3
54,45797,1164,112,7,60,0,1030,53099,3,3
55,45104,1168,105,5,59,0,1039,53795,2,3
56,44403,1176,101,6,55,0,1050,54493,2,3
57,43706,1181,97,6,56,0,1059,55192,3,3
58,43006,1186,93,7,57,0,1067,55890,2,3
59,42307,1194,90,8,54,0,1077,56588,2,3
60,41610,1200,84,8,46,0,1088,57288,1,3
61,40917,1201,76,6,46,0,1097,57985,1,3
62,40222,1207,75,6,44,0,1103,58682,1,3
63,39520,1213,73,6,41,0,1111,59380,1,3
64,38817,1219,69,4,40,0,1121,60078,1,3
65,38114,1226,65,5,35,0,1131,60778,0,3
66,37411,1232,63,4,29,0,1139,61477,0,3
67,36710,1242,70,4,31,0,1142,62177,1,3
68,36010,1249,70,5,29,0,1149,62875,2,3
69,35308,1255,72,5,31,0,1153,63575,2,3
70,34616,1259,70,6,32,0,1158,64274,1,3
71,33917,1262,65,6,31,0,1165,64973,0,3
72,33212,1274,71,5,35,0,1171,65672,0,3
73,32509,1283,79,5,40,0,1172,66371,0,3
74,31807,1289,80,6,40,0,1177,67071,0,3
75,31104,1295,80,6,38,0,1183,67769,0,3
76,30393,1309,88,6,35,0,1189,68468,1,3
77,29684,1324,96,6,40,0,1196,69166,3,3
78,28978,1334,100,7,42,0,1202,69864,4,3
79,28273,1341,97,6,40,0,1211,70563,3,3
80,27573,1351,99,6,40,0,1217,71263,5,3
81,26869,1361,102,5,48,0,1223,71960,4,3
82,26167,1369,106,5,57,0,1227,72659,4,3
83,25465,1375,105,6,62,0,1230,73359,1,3
84,24759,1383,101,5,58,0,1242,74059,3,3
85,24065,1383,92,4,56,0,1251,74757,3,3
86,23365,1387,89,5,59,0,1257,75457,3,3
87,22669,1389,83,5,61,0,1263,76157,1,3
88,21966,1395,76,5,53,0,1276,76856,1,3
89,21265,1400,67,5,46,0,1289,77556,0,3
90,20566,1402,60,4,38,0,1298,78256,0,3
91,19873,1407,58,3,35,0,1305,78956,2,3
92,19171,1414,59,3,31,0,1311,79655,2,3
93,18467,1421,56,4,26,0,1321,80354,2,3
94,18246,1423,48,4,23,0,1329,80574,0,3
95,18243,1427,47,3,21,0,1334,80574,1,3
96,18242,1428,42,2,19,0,1340,80574,1,3
97,18239,1431,45,5,23,0,1340,80574,1,3
98,18233,1439,49,5,27,0,1343,80574,2,3
99,18228,1444,52,5,27,0,1345,80574,2,3
100,18223,1449,51,4,25,0,1351,80574,2,3
101,18216,1456,51,4,21,0,1356,80574,0,3
102,18207,1465,58,4,22,0,1358,80574,0,3
103,18201,1471,61,4,25,0,1361,80574,0,3
104,18192,1480,63,2,25,0,1368,80574,0,3
105,18179,1493,69,3,22,0,1375,80574,0,3
106,18171,1502,76,4,26,0,1377,80574,1,3
107,18167,1507,78,3,33,0,1380,80574,2,3
108,18162,1513,83,3,38,0,1381,80574,3,3
109,18155,1520,86,4,43,0,1384,80574,2,3
110,18152,1523,82,4,50,0,1390,80574,1,3
111,18146,1530,83,3,54,0,1395,80574,1,3
112,18141,1536,84,2,54,0,1400,80574,2,3
113,18134,1543,84,2,52,0,1407,80574,2,3
114,18130,1547,78,2,50,0,1416,80574,1,3
115,18123,1554,78,3,46,0,1422,80574,0,3
116,18115,1563,78,3,43,0,1431,80574,1,3
117,18109,1569,71,3,35,0,1444,80574,1,3
118,18101,1577,71,3,34,0,1452,80574,1,3
119,18093,1586,75,4,33,0,1456,80574,1,3
120,18088,1591,75,3,36,0,1461,80574,1,3
121,18075,1605,82,3,37,0,1468,80574,2,3
122,18071,1611,84,2,41,0,1471,80574,3,3
123,18068,1615,82,3,42,0,1477,80574,4,3
124,18058,1625,86,4,44,0,1482,80574,3,3
125,18049,1635,87,5,41,0,1489,80574,2,3
126,18041,1643,90,4,51,0,1493,80574,1,3
127,18035,1650,90,4,48,0,1500,80574,2,3
128,18029,1656,87,4,43,0,1508,80574,1,3
129,18023,1662,87,5,46,0,1514,80574,1,3
130,18018,1667,83,4,48,0,1522,80574,0,3
131,18016,1670,78,3,49,0,1530,80574,1,3
132,18013,1674,77,3,50,0,1535,80574,2,3
133,18009,1678,68,4,42,0,1548,80574,2,3
134,18005,1682,67,4,44,0,1552,80574,1,3
135,17996,1691,72,6,44,0,1555,80574,0,3
136,17991,1697,68,6,36,0,1565,80574,1,3
137,17985,1703,65,6,30,0,1574,80574,1,3
138,17975,1713,67,6,26,0,1582,80574,1,3
139,17969,1720,67,5,25,0,1588,80574,1,3
140,17962,1727,68,4,29,0,1594,80574,1,3
