,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84241,316,316,0,0,0,0,15443,0,0
1,83520,338,338,0,0,0,0,16142,0,0
2,82792,368,368,0,0,0,0,16840,0,0
3,82070,393,393,0,0,0,0,17539,2,0
4,81345,423,423,0,0,0,0,18235,3,0
5,80618,455,455,0,0,0,0,18930,3,0
6,79894,483,481,46,292,0,0,19626,1,0
7,79179,503,500,50,318,0,0,20322,1,0
8,78463,522,519,53,338,0,0,21019,1,0
9,77753,535,532,57,363,0,0,21716,1,0
10,77034,555,551,63,389,0,0,22416,1,0
11,76324,571,567,66,414,0,0,23112,3,0
12,75597,602,598,68,431,0,0,23808,3,0
13,74883,620,293,25,155,16,322,24504,2,0
14,74168,639,280,24,139,16,352,25200,0,0
15,73451,660,278,21,138,16,375,25896,0,0
16,72739,676,265,18,126,16,404,26594,2,0
17,72023,696,253,13,130,16,436,27290,2,0
18,71308,713,242,11,122,16,464,27988,2,0
19,70602,723,231,12,121,16,483,28684,0,0
20,69893,738,211,10,125,0,512,29378,0,6
21,69186,748,208,8,128,0,525,30075,0,6
22,68482,760,201,10,127,0,544,30767,0,6
23,67768,781,208,10,130,0,558,31461,1,6
24,67055,796,192,11,108,0,589,32159,1,6
25,66342,812,190,10,106,0,607,32856,1,6
26,65625,834,192,9,98,0,626,33551,0,6
27,64911,857,194,9,89,0,647,34244,2,6
28,64204,871,194,11,93,0,661,34937,2,6
29,63487,892,195,10,89,0,681,35635,4,6
30,62764,920,204,11,87,0,698,36330,2,6
31,62050,937,211,10,100,0,708,37028,3,6
32,61336,959,216,11,105,0,723,37721,2,6
33,60632,972,219,10,110,0,733,38413,3,6
34,59920,988,222,10,117,0,745,39110,3,6
35,59203,1007,220,9,126,0,765,39808,2,6
36,58489,1024,221,10,126,0,780,40505,1,6
37,57775,1046,226,10,131,0,796,41197,0,6
38,57072,1057,215,9,122,0,818,41889,0,6
39,56354,1077,214,10,115,0,839,42588,1,6
40,55638,1098,221,11,119,0,853,43283,1,6
41,54927,1115,219,11,117,0,872,43979,1,6
42,54210,1136,211,10,112,0,900,44677,0,6
43,53503,1147,207,8,109,1,915,45375,0,6
44,52787,1171,210,10,105,1,936,46073,2,6
45,52069,1189,216,12,112,1,948,46773,2,6
46,51360,1205,217,12,114,1,963,47469,3,6
47,50645,1227,218,11,117,1,982,48166,3,6
48,49939,1241,215,11,111,1,999,48862,4,6
49,49230,1256,207,11,111,1,1021,49557,3,6
50,48520,1276,213,15,114,0,1033,50253,2,6
51,47809,1299,216,11,114,0,1052,50947,4,6
52,47095,1320,216,9,115,0,1073,51643,4,6
53,46392,1338,216,7,113,0,1090,52337,3,6
54,45684,1358,212,8,106,0,1111,53032,3,6
55,44976,1376,219,10,112,0,1122,53729,3,6
56,44263,1403,224,10,110,0,1144,54424,5,6
57,43548,1424,224,10,113,0,1162,55120,2,6
58,42838,1441,226,16,110,0,1177,55817,3,6
59,42131,1460,223,17,106,0,1197,56511,3,6
60,41434,1472,222,20,108,0,1210,57205,4,6
