,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84224,335,335,0,0,0,0,15441,0,0
1,83504,358,358,0,0,0,0,16139,1,0
2,82783,381,381,0,0,0,0,16838,2,0
3,82062,402,402,0,0,0,0,17538,2,0
4,81336,429,428,0,0,0,0,18237,1,0
5,80603,464,462,0,0,0,0,18936,1,0
6,79876,495,493,39,318,0,0,19632,1,0
7,79163,513,511,41,338,0,0,20327,1,0
8,78451,529,526,43,357,0,0,21023,0,0
9,77737,547,544,48,379,0,0,21720,1,0
10,77018,568,565,52,409,0,0,22418,1,0
11,76303,587,584,57,435,0,0,23114,1,0
12,75582,612,608,59,451,0,0,23810,0,0
13,74868,631,282,21,148,12,345,24505,0,0
14,74157,645,275,20,144,13,366,25202,0,0
15,73437,669,278,18,146,13,387,25898,0,0
16,72730,683,266,18,138,14,413,26593,2,0
17,72015,703,254,18,129,16,445,27288,2,0
18,71313,716,236,18,117,16,476,27977,2,0
19,70603,732,232,17,114,16,494,28671,0,0
20,69904,743,215,19,120,4,516,29359,0,6
21,69199,757,211,20,114,3,534,30052,2,6
22,68482,778,211,23,110,3,555,30749,3,6
23,67781,787,200,20,107,2,575,31442,4,6
24,67058,813,197,18,100,0,601,32140,3,7
25,66344,830,194,15,95,0,620,32837,2,7
26,65638,841,190,16,92,0,634,33532,1,7
27,64933,855,181,16,88,2,656,34224,1,7
28,64219,872,186,15,85,2,668,34921,1,7
29,63504,889,183,15,90,2,688,35620,2,7
30,62797,900,180,15,94,2,701,36317,2,7
31,62092,914,179,14,90,3,716,37009,3,7
32,61383,932,185,12,94,3,727,37701,3,7
33,60673,946,186,12,99,3,739,38398,3,7
34,59967,960,177,12,95,1,760,39090,2,8
35,59260,969,177,13,96,1,768,39788,1,8
36,58548,982,164,13,84,1,793,40487,0,8
37,57843,992,157,13,84,1,810,41183,1,8
38,57140,999,152,15,84,0,821,41879,1,9
39,56436,1007,147,15,85,0,834,42575,1,9
40,55734,1017,139,13,79,0,851,43267,0,9
41,55029,1025,131,11,78,0,867,43964,0,9
42,54329,1034,130,10,78,0,877,44658,1,9
43,53620,1048,131,7,75,0,890,45356,2,9
44,52919,1055,121,5,68,0,907,46053,2,9
45,52217,1064,116,3,67,0,920,46752,1,9
46,51512,1073,110,4,60,0,934,47451,1,9
47,50807,1085,114,5,58,1,942,48149,3,9
48,50098,1098,114,7,56,1,955,48848,3,9
49,49394,1108,114,8,53,1,964,49547,3,9
50,48690,1119,116,9,54,1,971,50247,3,9
51,47984,1126,115,9,54,1,979,50947,3,9
52,47281,1136,114,10,53,1,989,51647,5,9
53,46585,1140,108,12,56,1,997,52346,3,9
54,45885,1148,107,11,58,0,1005,53046,5,10
55,45183,1155,98,9,56,0,1018,53746,3,10
56,44481,1160,96,7,58,0,1025,54446,3,10
57,43780,1166,91,6,57,0,1034,55146,2,10
58,43082,1170,86,7,52,0,1042,55846,1,10
59,42383,1174,80,6,49,0,1052,56544,1,10
60,41679,1185,77,3,45,0,1065,57241,0,10
61,40979,1194,77,3,41,0,1074,57939,1,10
62,40279,1199,73,2,38,0,1083,58639,3,10
63,39575,1205,72,2,35,0,1090,59339,5,10
64,38877,1207,66,2,32,0,1097,60039,4,10
65,38175,1212,65,2,39,0,1101,60738,2,10
66,37473,1219,64,1,42,0,1107,61437,0,10
67,36770,1225,64,2,38,0,1113,62137,0,10
68,36072,1227,61,2,37,0,1118,62837,0,10
69,35371,1232,61,2,34,0,1123,63537,0,10
70,34666,1242,67,2,35,0,1127,64237,1,10
71,33963,1248,69,3,37,0,1131,64937,1,10
72,33261,1255,65,2,33,0,1142,65637,1,10
73,32557,1262,63,3,26,0,1150,66337,0,10
74,31851,1273,71,2,29,0,1153,67037,0,10
75,31148,1280,74,3,33,0,1157,67737,1,10
76,30442,1287,79,3,37,0,1159,68437,1,10
77,29742,1290,77,4,38,0,1164,69137,1,10
78,29040,1299,78,5,37,0,1171,69837,2,10
79,28336,1308,81,5,42,0,1177,70537,2,10
80,27638,1311,82,5,46,0,1179,71236,2,10
81,26937,1317,81,5,48,0,1184,71936,1,10
82,26239,1320,75,4,43,0,1193,72634,2,10
83,25540,1324,73,5,43,0,1199,73334,4,10
84,24837,1329,70,4,46,0,1206,74033,4,10
85,24139,1330,63,2,44,0,1213,74733,3,10
86,23438,1332,52,2,38,0,1224,75433,1,10
87,22740,1333,46,1,35,0,1230,76133,0,10
88,22041,1336,42,1,30,0,1237,76832,0,10
89,21343,1338,41,1,31,0,1240,77532,0,10
90,20646,1340,36,0,26,0,1247,78232,0,10
91,19951,1342,29,0,19,0,1256,78929,0,10
92,19248,1347,31,0,17,0,1259,79628,0,10
93,18547,1349,28,0,15,0,1264,80328,0,10
94,18324,1352,29,0,15,0,1266,80548,0,10
95,18321,1355,30,0,15,0,1268,80548,0,10
96,18321,1355,26,0,13,0,1272,80548,0,10
97,18321,1355,25,0,17,0,1273,80548,0,10
98,18319,1357,25,0,17,0,1275,80548,0,10
99,18316,1360,27,1,18,0,1276,80548,0,10
100,18316,1360,24,1,18,0,1279,80548,0,10
101,18312,1364,26,1,16,0,1281,80548,0,10
102,18312,1364,24,1,14,0,1283,80548,0,10
103,18309,1367,25,1,14,0,1285,80548,0,10
104,18307,1369,22,2,11,0,1290,80548,0,10
105,18304,1372,23,2,9,0,1292,80548,0,10
106,18302,1374,22,1,11,0,1295,80548,0,10
107,18300,1377,22,1,8,0,1298,80548,1,10
108,18299,1378,23,1,11,0,1298,80548,1,10
109,18296,1381,26,1,13,0,1298,80548,1,10
110,18295,1383,25,1,14,0,1300,80548,1,10
111,18294,1384,23,0,14,0,1303,80548,1,10
112,18292,1386,25,1,15,0,1303,80548,1,10
113,18289,1389,23,1,12,0,1307,80548,0,10
114,18289,1389,23,1,15,0,1307,80548,0,10
115,18288,1390,21,1,13,0,1310,80548,0,10
116,18287,1391,20,1,12,0,1312,80548,0,10
117,18285,1393,19,2,10,0,1315,80548,0,10
