,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
128,18012,1647,115,3,64,0,1449,80568,1,4
129,18007,1654,111,3,61,0,1459,80568,2,4
130,17995,1667,114,2,61,0,1469,80568,3,4
131,17985,1677,119,3,65,0,1474,80568,3,4
132,17979,1683,109,4,61,0,1488,80568,1,4
133,17974,1688,105,5,62,0,1496,80568,0,4
134,17968,1694,101,5,57,0,1506,80568,0,4
135,17962,1700,97,4,60,0,1516,80568,0,4
136,17955,1707,97,4,63,0,1523,80568,0,4
137,17950,1713,94,3,61,0,1532,80568,1,4
138,17944,1721,92,3,56,0,1542,80568,3,4
139,17939,1726,86,2,52,0,1553,80568,3,4
140,17932,1735,84,1,49,0,1563,80568,4,4
141,17930,1738,80,2,50,0,1568,80568,3,4
142,17925,1743,73,3,42,0,1580,80568,3,4
143,17920,1749,67,4,37,0,1590,80568,2,4
144,17916,1754,65,4,36,0,1596,80568,2,4
145,17913,1758,64,4,38,0,1601,80568,3,4
146,17904,1767,66,4,34,0,1607,80568,2,4
147,17902,1769,61,5,32,0,1613,80568,1,4
148,17898,1773,57,5,30,0,1620,80568,0,4
149,17895,1777,56,4,30,0,1625,80568,1,4
150,17892,1780,53,3,28,0,1631,80568,1,4
151,17889,1783,51,3,32,0,1636,80568,1,4
152,17887,1785,45,2,28,0,1643,80568,0,4
153,17885,1787,45,2,30,0,1645,80568,0,4
154,17882,1791,44,1,29,0,1650,80568,1,4
155,17881,1792,40,0,28,0,1655,80568,1,4
156,17879,1794,38,0,27,0,1659,80568,1,4
157,17878,1795,35,0,26,0,1662,80568,0,4
158,17875,1799,30,1,18,0,1671,80568,1,4
159,17873,1801,30,1,19,0,1673,80568,1,4
160,17868,1806,31,2,15,0,1677,80568,1,4
161,17867,1807,28,2,14,0,1680,80568,0,4
162,17866,1809,27,2,12,0,1683,80568,1,4
163,17862,1813,28,2,12,0,1686,80568,1,4
164,17857,1818,31,2,12,0,1688,80568,1,4
