,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84261,295,295,0,0,0,0,15444,0,0
1,83541,318,318,0,0,0,0,16141,0,0
2,82831,333,333,0,0,0,0,16838,2,0
3,82118,350,350,0,0,0,0,17534,2,0
4,81401,369,369,0,0,0,0,18232,2,0
5,80671,401,399,0,0,0,0,18931,1,0
6,79946,427,425,28,290,0,0,19630,1,0
7,79225,452,450,29,302,0,0,20327,2,0
8,78510,472,469,33,315,0,0,21022,1,0
9,77787,498,495,34,333,0,0,21720,2,0
10,77063,523,519,35,363,0,0,22420,2,0
11,76347,541,537,37,387,0,0,23118,2,0
12,75632,559,554,39,409,0,0,23816,2,0
13,74914,581,276,12,138,19,299,24513,2,0
14,74198,600,282,14,148,19,312,25210,2,0
15,73475,626,290,14,155,19,329,25907,1,0
16,72755,648,292,13,155,19,348,26606,1,0
17,72034,670,283,13,141,19,379,27305,1,0
18,71322,685,272,11,138,19,405,28003,2,0
19,70607,701,263,12,132,19,429,28702,1,0
20,69891,721,244,15,135,0,466,29398,1,2
21,69181,738,235,14,132,0,491,30093,2,2
22,68457,766,239,11,133,0,515,30789,2,2
23,67745,783,238,13,127,0,533,31485,3,2
24,67033,803,239,12,127,0,550,32178,2,2
25,66326,811,226,14,124,0,571,32877,2,2
26,65610,827,222,14,120,0,590,33577,1,2
27,64889,849,217,15,121,0,616,34276,0,2
28,64176,864,211,15,116,0,637,34974,0,2
29,63464,884,209,15,113,0,659,35666,0,2
30,62760,892,203,13,109,0,673,36362,0,2
31,62048,912,207,16,106,0,689,37055,1,2
32,61337,929,204,19,105,0,709,37749,1,2
33,60624,951,211,16,108,0,724,38443,4,2
34,59919,960,191,13,103,0,752,39139,3,2
35,59218,970,185,11,97,0,768,39830,3,2
36,58510,982,175,10,98,0,787,40526,0,2
37,57802,995,180,11,106,0,795,41221,0,2
38,57095,1007,176,11,109,0,811,41916,0,2
39,56383,1023,170,8,99,0,833,42612,0,2
40,55673,1042,174,11,91,0,848,43303,0,2
