,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84266,281,281,0,0,0,0,15453,0,0
1,83549,301,301,0,0,0,0,16150,0,0
2,82820,331,331,0,0,0,0,16849,0,0
3,82093,358,358,0,0,0,0,17549,0,0
4,81368,385,385,0,0,0,0,18248,1,0
5,80645,414,414,0,0,0,0,18942,1,0
6,79919,442,442,29,272,0,0,19640,1,0
7,79201,462,461,31,300,0,0,20338,0,0
8,78481,484,483,35,323,0,0,21036,0,0
9,77754,511,510,37,347,0,0,21736,0,0
10,77037,529,528,37,376,0,0,22435,0,0
11,76324,542,541,40,401,0,0,23135,0,0
12,75599,572,571,40,421,0,0,23831,1,0
13,74883,595,305,12,170,12,289,24524,1,0
14,74164,616,296,13,166,12,319,25222,1,0
15,73451,633,286,12,158,13,345,25919,1,0
16,72739,648,275,11,146,13,371,26616,1,0
17,72023,667,265,12,145,13,400,27313,1,0
18,71301,691,260,11,141,13,428,28011,0,0
19,70587,707,256,13,140,13,448,28709,0,0
20,69872,724,239,14,133,1,479,29408,1,3
21,69153,745,233,13,122,1,506,30107,2,3
22,68438,763,232,10,126,0,525,30804,2,3
23,67719,786,241,9,138,0,538,31501,2,3
24,67004,802,227,13,121,0,567,32200,1,3
25,66295,814,216,11,116,0,590,32898,2,3
26,65583,829,209,10,116,0,611,33595,1,3
27,64874,844,208,8,120,0,627,34292,4,3
28,64157,862,210,8,127,0,642,34991,3,3
29,63447,874,203,8,124,0,661,35689,3,3
30,62738,887,189,9,110,0,685,36385,0,3
31,62035,892,178,4,114,0,701,37083,0,3
32,61321,908,178,6,108,0,717,37781,0,3
33,60618,917,167,7,105,0,737,38475,0,3
34,59909,933,165,7,99,0,755,39168,0,3
35,59197,952,162,7,90,0,777,39862,1,3
36,58489,966,160,7,79,0,793,40556,1,3
37,57781,977,160,8,83,0,804,41253,1,3
38,57069,993,160,9,76,0,819,41949,0,3
39,56361,1007,162,7,82,0,831,42643,0,3
40,55655,1021,158,9,80,0,849,43335,0,3
41,54949,1037,162,10,81,0,861,44031,1,3
42,54239,1050,162,9,80,0,874,44731,1,3
43,53528,1066,173,10,90,0,879,45429,2,3
44,52811,1084,174,9,89,0,895,46128,1,3
45,52098,1102,183,11,92,0,904,46824,1,3
46,51388,1118,182,11,91,0,920,47520,0,3
47,50682,1132,178,7,90,0,938,48214,0,3
48,49975,1149,181,7,91,0,952,48910,0,3
49,49272,1160,181,7,98,0,963,49607,2,3
50,48564,1177,182,7,100,0,979,50302,4,3
51,47863,1190,181,8,101,0,993,50998,4,3
52,47156,1211,186,6,103,0,1007,51691,4,3
53,46454,1224,182,6,105,0,1022,52385,4,3
54,45744,1240,185,6,101,0,1035,53084,4,3
55,45039,1258,186,5,102,0,1050,53779,3,3
56,44332,1271,179,4,98,0,1068,54476,1,3
57,43630,1283,173,4,99,0,1086,55170,1,3
58,42929,1291,164,2,96,0,1102,55868,0,3
59,42226,1303,162,2,98,0,1116,56563,0,3
60,41528,1314,156,2,98,0,1133,57259,1,3
