,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84253,286,286,0,0,0,0,15461,0,0
1,83540,302,302,0,0,0,0,16160,2,0
2,82818,327,327,0,0,0,0,16858,3,0
3,82089,357,357,0,0,0,0,17557,3,0
4,81366,383,381,0,0,0,0,18255,2,0
5,80637,415,412,0,0,0,0,18953,2,0
6,79897,456,453,29,271,0,0,19652,2,0
7,79183,472,468,32,292,0,0,20350,1,0
8,78461,497,492,35,319,0,0,21047,0,0
9,77747,516,511,39,340,0,0,21743,1,0
10,77036,530,525,44,366,0,0,22442,3,0
11,76308,559,554,51,400,0,0,23141,3,0
12,75593,576,570,53,414,0,0,23839,2,0
13,74880,593,302,28,164,17,283,24535,0,0
14,74170,607,292,25,161,17,307,25231,0,0
15,73458,624,279,24,144,17,337,25927,1,0
16,72744,643,273,22,150,17,362,26622,1,0
17,72030,662,261,20,138,17,393,27317,1,0
18,71314,679,236,16,118,17,434,28016,0,0
19,70598,700,241,16,116,17,450,28711,0,0
20,69890,711,210,13,110,0,482,29408,0,10
21,69166,739,220,17,107,0,500,30105,1,10
22,68451,760,229,15,116,0,512,30799,1,10
23,67731,781,222,15,104,1,540,31498,1,10
24,67028,791,214,13,110,1,557,32192,1,10
25,66314,808,214,12,105,1,574,32889,1,10
26,65605,825,217,11,119,1,588,33582,2,10
27,64891,842,217,11,124,1,604,34279,1,10
28,64182,856,212,8,129,1,623,34974,1,10
29,63473,868,204,9,118,1,642,35671,0,10
30,62752,889,207,8,119,0,660,36371,0,10
31,62044,902,199,9,113,0,681,37066,0,10
32,61330,919,205,8,120,0,692,37763,0,10
33,60622,928,187,8,107,0,719,38462,0,10
34,59910,947,185,8,98,0,740,39155,0,10
35,59197,962,179,8,98,0,761,39853,0,10
36,58484,981,189,8,102,0,770,40549,2,10
37,57779,996,187,9,101,0,787,41241,4,10
38,57069,1010,185,7,96,0,803,41938,5,10
39,56363,1025,181,8,97,0,820,42630,4,10
40,55651,1042,182,8,98,0,834,43327,4,10
41,54941,1055,182,10,101,0,846,44026,3,10
42,54235,1072,177,13,90,0,867,44722,3,10
43,53530,1081,171,12,91,0,880,45421,2,10
44,52829,1088,161,11,89,0,897,46116,2,10
45,52128,1095,158,13,93,0,906,46815,1,10
46,51424,1105,148,12,88,0,925,47511,0,10
47,50720,1119,147,13,88,0,940,48206,1,10
48,50015,1127,138,10,82,0,957,48905,1,10
49,49314,1137,135,8,78,0,970,49600,2,10
50,48612,1147,131,8,72,0,983,50297,2,10
51,47912,1156,126,7,69,0,997,50992,2,10
52,47205,1168,122,6,68,0,1012,51692,3,10
53,46508,1174,114,6,63,0,1025,52392,2,10
54,45803,1188,112,5,57,0,1041,53091,3,10
55,45104,1199,113,7,56,0,1049,53788,2,10
56,44405,1207,114,5,60,0,1056,54483,2,10
57,43709,1212,111,7,61,0,1063,55180,4,10
58,43016,1216,104,7,57,0,1073,55874,3,10
59,42314,1226,101,7,57,0,1086,56571,4,10
60,41618,1230,94,6,60,0,1094,57267,1,10
61,40919,1232,87,5,60,0,1103,57965,1,10
62,40227,1234,79,3,55,0,1112,58660,0,10
63,39537,1236,72,3,50,0,1121,59358,0,10
64,38841,1238,64,1,51,0,1131,60057,0,10
65,38142,1239,59,1,49,0,1137,60757,0,10
66,37445,1241,48,0,39,0,1150,61456,0,10
67,36749,1243,40,0,31,0,1160,62155,0,10
68,36054,1243,32,0,25,0,1168,62854,0,10
69,35350,1248,35,0,25,0,1170,63554,0,10
70,34652,1248,31,0,22,0,1174,64254,0,10
71,33958,1248,22,0,15,0,1183,64953,0,10
72,33262,1250,20,0,13,0,1187,65653,1,10
73,32566,1253,21,0,11,0,1189,66351,1,10
74,31873,1253,19,0,14,0,1191,67051,1,10
75,31176,1254,17,0,12,0,1193,67750,0,10
76,30480,1255,16,0,10,0,1195,68448,0,10
77,29782,1258,18,0,10,0,1196,69148,1,10
78,29088,1259,17,0,11,0,1198,69848,2,10
79,28391,1261,17,0,9,0,1200,70547,2,10
80,27696,1261,16,0,10,0,1200,71246,1,10
81,27003,1262,11,0,6,0,1205,71946,0,10
82,26307,1263,12,0,8,0,1205,72646,0,10
83,25610,1263,12,0,8,0,1205,73346,0,10
84,24913,1263,11,0,9,0,1206,74046,0,10
85,24221,1264,9,0,6,0,1209,74744,0,10
86,23526,1264,9,0,7,0,1209,75444,0,10
87,22828,1265,9,0,7,0,1210,76143,0,10
88,22131,1265,8,0,6,0,1211,76843,0,10
89,21433,1265,6,0,4,0,1213,77543,0,10
90,20743,1265,6,0,5,0,1213,78243,0,10
91,20049,1265,4,0,3,0,1215,78943,0,10
92,19352,1265,4,0,4,0,1215,79642,0,10
93,18656,1265,3,0,3,0,1216,80342,0,10
94,18438,1265,2,0,2,0,1217,80562,0,10
95,18438,1265,2,0,2,0,1217,80562,0,10
96,18438,1265,2,0,2,0,1217,80562,0,10
97,18438,1265,1,0,1,0,1218,80562,0,10
98,18438,1265,1,0,1,0,1218,80562,0,10
99,18438,1265,0,0,0,0,1219,80562,0,10
100,18438,1265,0,0,0,0,1219,80562,0,10
101,18438,1265,0,0,0,0,1219,80562,0,10
102,18438,1265,0,0,0,0,1219,80562,0,10
103,18438,1265,0,0,0,0,1219,80562,0,10
104,18438,1265,0,0,0,0,1219,80562,0,10
105,18438,1265,0,0,0,0,1219,80562,0,10
106,18438,1265,0,0,0,0,1219,80562,0,10
107,18438,1265,0,0,0,0,1219,80562,0,10
108,18438,1265,0,0,0,0,1219,80562,0,10
109,18438,1265,0,0,0,0,1219,80562,0,10
110,18438,1265,0,0,0,0,1219,80562,0,10
111,18438,1265,0,0,0,0,1219,80562,0,10
112,18438,1265,0,0,0,0,1219,80562,0,10
113,18438,1265,0,0,0,0,1219,80562,0,10
114,18438,1265,0,0,0,0,1219,80562,0,10
115,18438,1265,0,0,0,0,1219,80562,0,10
116,18438,1265,0,0,0,0,1219,80562,0,10
117,18438,1265,0,0,0,0,1219,80562,0,10
118,18438,1265,0,0,0,0,1219,80562,0,10
119,18438,1265,0,0,0,0,1219,80562,0,10
120,18438,1265,0,0,0,0,1219,80562,0,10
121,18438,1265,0,0,0,0,1219,80562,0,10
122,18438,1265,0,0,0,0,1219,80562,0,10
123,18438,1265,0,0,0,0,1219,80562,0,10
124,18438,1265,0,0,0,0,1219,80562,0,10
125,18438,1265,0,0,0,0,1219,80562,0,10
126,18438,1265,0,0,0,0,1219,80562,0,10
